Release date,Title,Author,Price,Total sales (current month),Publisher
2022/09/19,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](53),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/19,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](54),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/19,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](55),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/19,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](56),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/26,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](57),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/26,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](58),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/26,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](59),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/26,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](60),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/09/26,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](61),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/10/03,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](62),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/10/03,Breaking Through the Clouds 2 Devouring the Seas [VertiComix](63),[author]Huaishang : Beijing Jinjiang : THE ALLIANCE OF GODS : Rinx Culture Media : Boyi Animation,0.6,1,[publisher]KUAIKAN
2022/07/01,Mermaid’s Egg [VertiComix](97),[author]wan,0.6,1,[publisher]KUAIKAN
2022/07/01,Mermaid’s Egg [VertiComix](98),[author]wan,0.6,1,[publisher]KUAIKAN
2022/07/01,Mermaid’s Egg [VertiComix](99),[author]wan,0.6,1,[publisher]KUAIKAN
2022/07/14,Spirit of Peach Blossom [VertiComix](71),[author]yuanxiaoxiao : pxtar,0.3,1,[publisher]KUAIKAN
2022/07/18,Dawn the Teen Witch [VertiComix](61),[author]JiaoXiangTing : TangTang,0.3,1,[publisher]KUAIKAN
2022/07/18,Dawn the Teen Witch [VertiComix](62),[author]JiaoXiangTing : TangTang,0.3,1,[publisher]KUAIKAN
